sneakers_ref,img_url2,title,color,brand,img_url
VD3HNVY,http://images.hhv.de/catalog/new_shop_186x186/00222/222755.jpg,Old Skool,NAVY,Vans,http://images.hhv.de/catalog/shop_detail_zoom/00222/222755.jpg
352634-03,http://images.hhv.de/catalog/new_shop_186x186/00240/240601.jpg,Suede Classic Eco,BLACK / WHITE,Puma,http://images.hhv.de/catalog/shop_detail_zoom/00240/240601.jpg
6604,http://images.hhv.de/catalog/new_shop_186x186/00370/370229.jpg,Classic Nylon,BLACK / WHITE,Reebok,http://images.hhv.de/catalog/shop_detail_zoom/00370/370229.jpg
2232,http://images.hhv.de/catalog/new_shop_186x186/00380/380760.jpg,Classic Leather,INT-WHITE,Reebok,http://images.hhv.de/catalog/shop_detail_zoom/00380/380760.jpg
315115-038,http://images.hhv.de/catalog/new_shop_186x186/00388/388431.jpg,WMNS Air Force 1,BLACK / BLACK,Nike,http://images.hhv.de/catalog/shop_detail_zoom/00388/388431.jpg
315115-112,http://images.hhv.de/catalog/new_shop_186x186/00388/388858.jpg,WMNS Air Force 1,WHITE / WHITE,Nike,http://images.hhv.de/catalog/shop_detail_zoom/00388/388858.jpg
M20324,http://images.hhv.de/catalog/new_shop_186x186/00395/395606.jpg,Stan Smith,FTWR WHITE / GREEN,adidas,http://images.hhv.de/catalog/shop_detail_zoom/00395/395606.jpg
M20325,http://images.hhv.de/catalog/new_shop_186x186/00395/395607.jpg,Stan Smith,CORE WHITE / RUNNING WHITE / NEW NAVY,adidas,http://images.hhv.de/catalog/shop_detail_zoom/00395/395607.jpg
142338c,http://images.hhv.de/catalog/new_shop_186x186/00407/407138.jpg,Chuck Taylor All Star70 Canvas Ox,PARCHMENT,Converse,http://images.hhv.de/catalog/shop_detail_zoom/00407/407138.jpg
VTS9BJ4,http://images.hhv.de/catalog/new_shop_186x186/00429/429472.jpg,Sk8-Hi,BLACK / BLACK / BLACK,Vans,http://images.hhv.de/catalog/shop_detail_zoom/00429/429472.jpg
