"sneakers_ref","img_url2","title","color","brand","img_url"
"864348-019","http://images.hhv.de/catalog/new_shop_186x186/00513/513442.jpg","Zoom Blazer Low XT","BLACK / WHITE / GUM LIGHT BROWN / WHITE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00513/513442.jpg"
"875789-001","http://images.hhv.de/catalog/new_shop_186x186/00513/513448.jpg","All Court 2 Low LX","BLACK / BLACK / WHITE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00513/513448.jpg"
"898028-400","http://images.hhv.de/catalog/new_shop_186x186/00513/513605.jpg","Air Woven Premium","BINARY BLUE / WHITE / GREEN ABYSS","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00513/513605.jpg"
"333824-021","http://images.hhv.de/catalog/new_shop_186x186/00513/513670.jpg","Zoom Stefan Janoski","BLACK / WHITE / GUM LIGHT BROWN","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00513/513670.jpg"
"631303-444","http://images.hhv.de/catalog/new_shop_186x186/00513/513673.jpg","Stefan Janoski Max","INDUSTRIAL BLUE / OBSIDIAN / PHOTO BLUE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00513/513673.jpg"
"880266-009","http://images.hhv.de/catalog/new_shop_186x186/00513/513682.jpg","Solarsoft Portmore II","BLACK / DARK GREY / GUM LIGHT BROWN","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00513/513682.jpg"
"909096-002","http://images.hhv.de/catalog/new_shop_186x186/00513/513691.jpg","FC Classic","BLACK / BLACK / BLACK / VIVID ORANGE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00513/513691.jpg"
"909096-111","http://images.hhv.de/catalog/new_shop_186x186/00513/513692.jpg","FC Classic","SUMMIT WHITE / SUMMIT WHITE / WHITE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00513/513692.jpg"
"903896-001","http://images.hhv.de/catalog/new_shop_186x186/00513/513754.jpg","Air Vortex","BLACK / WHITE / COOL GREY / WHITE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00513/513754.jpg"
"903896-400","http://images.hhv.de/catalog/new_shop_186x186/00513/513755.jpg","Air Vortex","ARMORY NAVY / COBBLESTONE / SUMMIT WHITE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00513/513755.jpg"
"903896-600","http://images.hhv.de/catalog/new_shop_186x186/00513/513756.jpg","Air Vortex","GYM RED / BLACK / PURE PLATINUM / WHITE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00513/513756.jpg"
"807471-102","http://images.hhv.de/catalog/new_shop_186x186/00513/513801.jpg","WMNS Classic Cortez Leather","WHITE / WHITE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00513/513801.jpg"
"G48060","http://images.hhv.de/catalog/new_shop_186x186/00515/515421.jpg","Busenitz","BLACK1 / RUNNING WHITE / GOLD METALLIC","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00515/515421.jpg"
"BY2910","http://images.hhv.de/catalog/new_shop_186x186/00515/515476.jpg","Stan Smith Boost","HAZE CORAL S17 / HAZE CORAL S17 / HAZE CORAL S17","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00515/515476.jpg"
"573041-50-13","http://images.hhv.de/catalog/new_shop_186x186/00520/520580.jpg","W576 TTO Made in UK","PINK","New Balance","http://images.hhv.de/catalog/shop_detail_zoom/00520/520580.jpg"
"573041-50-3","http://images.hhv.de/catalog/new_shop_186x186/00520/520581.jpg","W576 TTN Made in UK","CREAM","New Balance","http://images.hhv.de/catalog/shop_detail_zoom/00520/520581.jpg"
"572700-50-11","http://images.hhv.de/catalog/new_shop_186x186/00520/520589.jpg","WL373 CR","CREAM","New Balance","http://images.hhv.de/catalog/shop_detail_zoom/00520/520589.jpg"
"302350-200","http://images.hhv.de/catalog/new_shop_186x186/00525/525850.jpg","WMNS Air Woven","LINEN / LIGHT BONE / SAIL","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00525/525850.jpg"
